,fun,serious,source
297,john daly injured after vicious hit during arena golf tournament,john daly injured after vicious swing during golf tournament,unfunme
298,city should do something about it,city should do something about homeless,unfunme
299,city should do something about it,people should do something about it,unfunme
300,city should do something about it,our city should do something about it,unfunme
301,area tweet not exactly lighting the world on fire,globe candles not exactly lighting the world on fire,unfunme
302,area tweet not exactly lighting the world on fire,area 51 tweet not exactly lighting the world on fire,unfunme
303,area tweet not exactly lighting the world on fire,area tweet sets world on fire,unfunme
304,dnc lacking same delusional magic it had in 2008,dnc lacking same delusional success it had in 2008,unfunme
305,obama: 'help us destroy jesus and start a new age of liberal darkness',obama: 'help us destroy isis and start a new age of a liberal society',unfunme
306,obama: 'help us destroy jesus and start a new age of liberal darkness',obama's joke: 'help us destroy jesus and start a new age of liberal darkness',unfunme
307,mother knows perfect picture to publicize if daughter ever abducted,mother knows perfect picture to publicize if daughter ever laureated,unfunme
308,san diego zoo displays first rhino stillborn in captivity,san diego charges zoo  rhino  in captivity,unfunme
309,minor-league baseball player has no idea which team's farm system he's in anymore,minor-league baseball player has no idea which team's farm system he's trusting anymore,unfunme
310,minor-league baseball player has no idea which team's farm system he's in anymore,minor-league baseball player questions team's farm system,unfunme
311,romney: 'we should never apologize for american values or japanese internment camps',romney: 'we should apologize for american values or japanese internment camps',unfunme
312,chicago public schools celebrate fifth straight day without any student violence,chicago public schools celebrate fifth day of student success,unfunme
313,chicago public schools celebrate fifth straight day without any student violence,chicago public schools celebrate fifth straight day without any snow,unfunme
314,chicago public schools celebrate fifth straight day without any student violence,chicago public schools celebrate fifth straight year without any student violence,unfunme
315,chicago public schools celebrate fifth straight day without any student violence,chicago public schools celebrate sixth straight day without any student violence,unfunme
316,whole museum visit spent feeling guilty about moving on from paintings,museum visitors often feeling guilty about moving on from paintings,unfunme
317,whole museum visit spent feeling guilty about moving on from paintings,sculpture museum visit spent feeling guilty about moving on from paintings,unfunme
318,romney campaign sends in champion of the poor paul ryan for damage control,romney campaign chooses paul ryan as vp for damage control,unfunme
319,fearless man bravely ventures out into u.s. economy,fearless man bravely ventures out into u.s. army,unfunme
320,joe flacco silences supporters once and for all with terrible fourth-quarter performance,joe flacco silences critics once and for all with amazing fourth-quarter performance.,unfunme
321,joe flacco silences supporters once and for all with terrible fourth-quarter performance,joe flacco silences supporters once and for all with excellent fourth-quarter performance,unfunme
322,looks like niece blabbed,looks like secret agent blabbed,unfunme
323,looks like niece blabbed,it is appearing that niece have told some unrecognisable words,unfunme
324,everyone at airport delighted by chubby family rapidly waddling toward gate,everyone at airport delighted by skinny family rapidly waddling toward gate,unfunme
325,sports fan swings by espn headquarters to check latest scores,nooooooo,unfunme
326,sports fan swings by espn headquarters to check latest scores,espn headquarters to become new place for sports fans to check latest scores.,unfunme
327,romeo crennel puts french fries tag on matt cassel,romeo crennel puts french model on matt cassel,unfunme
328,romeo crennel puts french fries tag on matt cassel,romeo crennel on matt cassel,unfunme
329,mitt romney adopts new ‘ronnie ferocious’ persona for debates,mitt romney adopts new ferocious persona for debates,unfunme
330,mitt romney adopts new ‘ronnie ferocious’ persona for debates,fuck him,unfunme
331,biden implores obama to 'rub one out' before debate,bust a nut,unfunme
332,biden implores obama to 'rub one out' before debate,biden implores obama to 'synchronize ideas' before debate,unfunme
333,secretary of interior decks smart-ass buffalo,secretary of interior rebuffs smart-ass buffalo,unfunme
334,secretary of interior decks smart-ass buffalo,secretary of interior owns 1% of chipotle restaurant,unfunme
335,nation did not see mark wahlberg's sex change coming,nation did not expect mark wahlberg's coming out,unfunme
336,nation did not see mark wahlberg's sex change coming,wife did not see mark wahlberg's sex change coming,unfunme
337,ryan handed romney's latest political positions before walking on stage,ryan handed pomney's political position,unfunme
338,ryan handed romney's latest political positions before walking on stage,ryan handed romney's latest political updates before walking on stage,unfunme
339,nation tunes in to see which sociopath more likable this time,nation tunes in to see which american idol more likable,unfunme
340,nation tunes in to see which sociopath more likable this time,nation tunes in to see which team more successful this time,unfunme
